beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,total24,last12mos,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years,previous_year
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Theft,922,950,892,817,953,257,984,3612,903,0.3,3.6,3.3,9,2004.3,2065.2,1939.1,1776.1,2071.7,2139.1,1963,953
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Theft,167,179,183,222,195,19,149,779,194.8,8.9,-16.8,-23.6,-23.5,2385.7,2557.1,2614.3,3171.4,2785.7,2128.6,2782.9,195
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Theft,1969,1889,2060,2424,2470,569,2317,8843,2210.8,30.8,22.7,-6.2,4.8,8204.2,7870.8,8583.3,10100,10291.7,9654.2,9211.7,2470
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Theft,1309,1194,1387,1543,1269,259,1179,5393,1348.2,6.3,-1.3,-7.1,-12.6,3636.1,3316.7,3852.8,4286.1,3525,3275,3745,1269
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35000,Theft,1352,1454,1469,1520,1422,367,1410,5865,1466.2,-2.2,-3,-0.8,-3.8,3862.9,4154.3,4197.1,4342.9,4062.9,4028.6,4189.1,1422
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20000,Theft,891,891,1066,1184,1130,291,1116,4271,1067.8,26.8,25.3,-1.2,4.5,4455,4455,5330,5920,5650,5580,5339,1130
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,28000,Theft,633,631,663,682,720,167,730,2696,674,14.1,15.7,1.4,8.3,2260.7,2253.6,2367.9,2435.7,2571.4,2607.1,2407.1,720
19G10,19,2.74020376,Concourse South and Westwood Mall,31000,Theft,984,1232,1226,1227,1426,258,1236,5111,1277.8,15.7,0.3,-13.3,-3.3,3174.2,3974.2,3954.8,3958.1,4600,3987.1,4121.9,1426
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",25000,Theft,566,533,386,464,427,92,400,1810,452.5,-19.9,-25,-6.3,-11.6,2264,2132,1544,1856,1708,1600,1810,427
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18000,Theft,309,317,272,206,183,60,208,978,244.5,-42.3,-34.4,13.7,-14.9,1716.7,1761.1,1511.1,1144.4,1016.7,1155.6,1358.3,183
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37000,Theft,656,679,544,573,517,126,511,2313,578.2,-23.9,-24.7,-1.2,-11.6,1773,1835.1,1470.3,1548.6,1397.3,1381.1,1562.7,517
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18000,Theft,406,580,525,389,386,78,351,1880,470,-33.4,-39.5,-9.1,-25.3,2255.6,3222.2,2916.7,2161.1,2144.4,1950,2611.1,386
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",29000,Theft,905,942,986,1017,824,207,830,3769,942.2,-12.5,-11.9,0.7,-11.9,3120.7,3248.3,3400,3506.9,2841.4,2862.1,3249,824
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18000,Theft,370,425,356,346,305,60,290,1432,358,-28.2,-31.8,-4.9,-19,2055.6,2361.1,1977.8,1922.2,1694.4,1611.1,1988.9,305
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26000,Theft,1243,1123,1074,1034,959,185,906,4190,1047.5,-14.6,-19.3,-5.5,-13.5,4780.8,4319.2,4130.8,3976.9,3688.5,3484.6,4028.8,959
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28000,Theft,733,717,636,691,675,172,667,2719,679.8,-5.9,-7,-1.2,-1.9,2617.9,2560.7,2271.4,2467.9,2410.7,2382.1,2427.9,675
20G70,20,2.38283582,Westpark Village and Ashford Point,21000,Theft,376,401,422,370,384,97,388,1577,394.2,-4.2,-3.2,1,-1.6,1790.5,1909.5,2009.5,1761.9,1828.6,1847.6,1877.1,384
20G80,20,25.33626534,City Limits,37000,Theft,837,791,868,852,831,161,780,3342,835.5,5.1,-1.4,-6.1,-6.6,2262.2,2137.8,2345.9,2302.7,2245.9,2108.1,2258.1,831
21I10,21,0.00549966,Intercontinental Airport,0,Theft,258,133,165,227,322,88,352,847,211.8,142.1,164.7,9.3,66.2,NA,NA,NA,NA,NA,NA,NA,322
21I20,21,0.01205019,Intercontinental Airport,0,Theft,3,0,6,1,2,0,2,9,2.2,NA,NA,0,-9.1,NA,NA,NA,NA,NA,NA,NA,2
21I30,21,0.01180375,Intercontinental Airport,0,Theft,7,2,2,0,2,1,2,6,1.5,0,0,0,33.3,NA,NA,NA,NA,NA,NA,NA,2
21I40,21,0.00923163,Intercontinental Airport,0,Theft,15,6,2,4,12,2,12,24,6,100,100,0,100,NA,NA,NA,NA,NA,NA,NA,12
21I50,21,14.61100076,Intercontinental Airport,0,Theft,333,166,241,413,283,53,263,1103,275.8,70.5,58.4,-7.1,-4.6,NA,NA,NA,NA,NA,NA,NA,283
21I70,21,0.01945113,Intercontinental Airport,0,Theft,5,1,2,1,4,1,3,8,2,300,200,-25,50,NA,NA,NA,NA,NA,NA,NA,4
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8000,Theft,1384,1117,1407,1622,1414,274,1291,5560,1390,26.6,15.6,-8.7,-7.1,17300,13962.5,17587.5,20275,17675,16137.5,17375,1414
5F20,5,5.94082911,Spring Branch and Schwartz Park,42000,Theft,668,722,697,661,570,204,614,2650,662.5,-21.1,-15,7.7,-7.3,1590.5,1719,1659.5,1573.8,1357.1,1461.9,1577.4,570
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",23000,Theft,731,795,726,821,796,238,823,3138,784.5,0.1,3.5,3.4,4.9,3178.3,3456.5,3156.5,3569.6,3460.9,3578.3,3410.9,796
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30000,Theft,1422,1133,1103,1294,1149,220,1060,4679,1169.8,1.4,-6.4,-7.7,-9.4,4740,3776.7,3676.7,4313.3,3830,3533.3,3899.3,1149
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",28000,Theft,580,510,559,627,538,168,551,2234,558.5,5.5,8,2.4,-1.3,2071.4,1821.4,1996.4,2239.3,1921.4,1967.9,1994.6,538
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",23000,Theft,709,670,690,654,651,108,611,2665,666.2,-2.8,-8.8,-6.1,-8.3,3082.6,2913,3000,2843.5,2830.4,2656.5,2896.5,651
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",18000,Theft,683,703,782,747,725,138,649,2957,739.2,3.1,-7.7,-10.5,-12.2,3794.4,3905.6,4344.4,4150,4027.8,3605.6,4106.7,725
24C10,24,5.44044978,Kingwood,13000,Theft,194,172,152,148,122,29,126,594,148.5,-29.1,-26.7,3.3,-15.2,1492.3,1323.1,1169.2,1138.5,938.5,969.2,1142.3,122
24C20,24,6.8291794,Kingwood,18000,Theft,152,154,129,151,115,11,93,549,137.2,-25.3,-39.6,-19.1,-32.2,844.4,855.6,716.7,838.9,638.9,516.7,762.2,115
24C30,24,9.78735527,Kingwood,29000,Theft,195,173,156,196,187,32,177,712,178,8.1,2.3,-5.3,-0.6,672.4,596.6,537.9,675.9,644.8,610.3,613.8,187
24C40,24,35.7992771,Kingwood,6000,Theft,51,69,67,61,52,15,51,249,62.2,-24.6,-26.1,-1.9,-18,850,1150,1116.7,1016.7,866.7,850,1036.7,52
24C50,24,7.51791807,Kingwood,5000,Theft,197,364,384,399,328,115,367,1475,368.8,-9.9,0.8,11.9,-0.5,3940,7280,7680,7980,6560,7340,7376,328
