agency_name,county_total,murder,rape,robbery,assault,burglary,larceny,auto_theft,total,population,months,year,county
Childress County,County Total,0,4,0,8,28,27,6,73,6866,NA,2022,Childress
Clay County,County Total,0,3,0,12,27,21,13,76,10343,NA,2022,Clay
Cochran County,County Total,0,0,0,1,9,21,6,37,2489,NA,2022,Cochran
Coke County,County Total,0,1,0,0,129,20,5,155,3374,NA,2022,Coke
Coleman County,County Total,0,3,1,5,10,21,8,48,7847,NA,2022,Coleman
Collin County,County Total,6,256,159,860,1466,11093,1062,14902,1153886,NA,2022,Collin
Collingsworth County,County Total,0,0,0,0,0,3,0,3,2611,NA,2022,Collingsworth
Colorado County,County Total,1,5,4,20,41,117,29,217,17330,NA,2022,Colorado
Comal County,County Total,1,62,24,244,423,1774,287,2815,208617,NA,2022,Comal
Comanche County,County Total,0,5,1,24,34,121,17,202,14036,NA,2022,Comanche
Concho County,County Total,0,1,0,2,3,7,0,13,3383,NA,2022,Concho
Cooke County,County Total,1,13,7,47,92,398,63,621,42011,NA,2022,Cooke
Coryell County,County Total,1,40,11,106,132,649,86,1025,86872,NA,2022,Coryell
Crane County,County Total,0,1,0,3,8,4,0,16,4720,NA,2022,Crane
Crockett County,County Total,0,1,0,2,8,10,3,24,3044,NA,2022,Crockett
Crosby County,County Total,0,0,0,4,10,7,4,25,1051,NA,2022,Crosby
Dallam County,County Total,0,4,3,17,14,32,15,85,10116,NA,2022,Dallam
Dallas County,County Total,223,1059,3056,10025,11529,56915,19655,102462,2880842,NA,2022,Dallas
Dawson County,County Total,1,6,2,35,59,174,20,297,12351,NA,2022,Dawson
Deaf Smith County,County Total,1,5,6,40,64,185,49,350,18266,NA,2022,Deaf Smith
Delta County,County Total,0,3,1,9,20,21,7,61,5589,NA,2022,Delta
Denton County,County Total,16,305,119,782,1014,7933,1146,11315,744185,NA,2022,Denton
DeWitt County,County Total,1,2,3,64,39,129,14,252,16261,NA,2022,DeWitt
Donley County,County Total,0,0,1,11,6,9,4,31,3287,NA,2022,Donley
Duval County,County Total,0,4,1,34,30,44,26,139,6780,NA,2022,Duval
Eastland County,County Total,0,7,0,19,46,108,18,198,16315,NA,2022,Eastland
Ector County,County Total,12,70,71,536,405,1770,421,3285,161546,NA,2022,Ector
Edwards County,County Total,1,0,1,3,7,10,3,25,1471,NA,2022,Edwards
Ellis County,County Total,4,73,20,229,263,1721,273,2583,201136,NA,2022,Ellis
El Paso County,County Total,35,367,315,1938,1195,8148,1710,13708,874102,NA,2022,El Paso
Erath County,County Total,2,33,2,29,65,282,24,437,44315,NA,2022,Erath
Falls County,County Total,0,3,1,14,118,13,17,166,15719,NA,2022,Falls
Fannin County,County Total,0,7,0,46,33,130,19,235,26067,NA,2022,Fannin
Fayette County,County Total,1,13,1,37,54,171,25,302,25074,NA,2022,Fayette
Fisher County,County Total,1,3,1,12,17,16,3,53,3757,NA,2022,Fisher
Floyd County,County Total,0,3,1,15,23,24,13,79,5354,NA,2022,Floyd
Fort Bend County,County Total,16,207,247,1018,1287,8363,855,11993,845866,NA,2022,Fort Bend
Franklin County,County Total,0,6,1,14,114,39,5,179,9826,NA,2022,Franklin
Freestone County,County Total,1,7,4,37,243,95,27,414,20230,NA,2022,Freestone
Frio County,County Total,0,1,2,34,51,53,22,163,10979,NA,2022,Frio
Gaines County,County Total,0,0,4,22,24,93,18,161,20026,NA,2022,Gaines
Galveston County,County Total,28,244,113,520,975,4986,722,7588,372065,NA,2022,Galveston
Garza County,County Total,0,3,0,6,13,23,0,45,5969,NA,2022,Garza
Gillespie County,County Total,0,17,0,15,24,116,6,178,28041,NA,2022,Gillespie
Glasscock County,County Total,0,0,0,0,15,24,3,42,1192,NA,2022,Glasscock
Goliad County,County Total,0,5,0,10,25,55,7,102,7369,NA,2022,Goliad
Gonzales County,County Total,2,11,2,130,76,136,31,388,17395,NA,2022,Gonzales
Gray County,County Total,0,10,5,61,86,306,22,490,21007,NA,2022,Gray
Grayson County,County Total,8,71,18,236,481,1004,208,2026,135482,NA,2022,Grayson
Gregg County,County Total,15,87,77,338,633,2058,315,3523,133105,NA,2022,Gregg
Grimes County,County Total,1,21,4,96,146,205,40,513,31373,NA,2022,Grimes
Guadalupe County,County Total,3,32,30,176,255,1227,201,1924,110818,NA,2022,Guadalupe
Hale County,County Total,0,7,5,66,94,285,48,505,23309,NA,2022,Hale
Hall County,County Total,0,0,0,4,7,4,3,18,2781,NA,2022,Hall
Hamilton County,County Total,0,2,0,11,16,24,1,54,6917,NA,2022,Hamilton
Hansford County,County Total,0,0,0,0,3,7,2,12,2061,NA,2022,Hansford
Hardeman County,County Total,0,1,0,3,8,9,0,21,3015,NA,2022,Hardeman
Hardin County,County Total,4,33,2,52,92,317,59,559,58024,NA,2022,Hardin
Harris County,County Total,598,2570,9067,25202,23765,121150,26988,209340,4788785,NA,2022,Harris
Harrison County,County Total,7,30,14,116,290,465,103,1025,67522,NA,2022,Harrison
Hartley County,County Total,0,0,0,2,0,4,0,6,2620,NA,2022,Hartley
Haskell County,County Total,0,0,0,5,4,21,14,44,5392,NA,2022,Haskell
Hays County,County Total,6,191,77,552,480,2907,460,4673,268138,NA,2022,Hays
Hemphill County,County Total,0,1,0,5,20,9,0,35,3196,NA,2022,Hemphill
Henderson County,County Total,8,47,6,175,245,517,159,1157,83077,NA,2022,Henderson
Hidalgo County,County Total,29,458,346,1819,1926,12668,1063,18309,886226,NA,2022,Hidalgo
Hill County,County Total,1,27,6,43,75,291,52,495,35792,NA,2022,Hill
Hockley County,County Total,0,6,6,145,114,249,43,563,21364,NA,2022,Hockley
Hood County,County Total,5,10,6,40,104,585,58,808,65935,NA,2022,Hood
Hopkins County,County Total,0,11,4,42,29,93,23,202,37150,NA,2022,Hopkins
Houston County,County Total,0,12,7,24,60,214,32,349,22550,NA,2022,Houston
Howard County,County Total,5,16,16,171,169,564,75,1016,33673,NA,2022,Howard
Hudspeth County,County Total,0,0,0,0,1,0,1,2,3401,NA,2022,Hudspeth
Hunt County,County Total,2,44,21,412,223,813,177,1692,99371,NA,2022,Hunt
Hutchinson County,County Total,0,15,1,53,119,118,29,335,20574,NA,2022,Hutchinson
Irion County,County Total,1,0,0,4,2,6,2,15,1593,NA,2022,Irion
Jack County,County Total,0,3,0,8,10,29,4,54,8992,NA,2022,Jack
Jackson County,County Total,2,4,1,29,16,56,34,142,15335,NA,2022,Jackson
Jasper County,County Total,1,6,12,48,81,375,26,549,31259,NA,2022,Jasper
Jeff Davis County,County Total,0,0,0,1,1,2,2,6,1932,NA,2022,Jeff Davis
Jefferson County,County Total,29,176,317,1298,1411,4326,599,8156,253036,NA,2022,Jefferson
Jim Hogg County,County Total,0,0,1,6,19,14,6,46,4792,NA,2022,Jim Hogg
Jim Wells County,County Total,6,25,5,220,231,579,79,1145,34734,NA,2022,Jim Wells
Johnson County,County Total,8,120,20,286,288,1402,192,2316,201410,NA,2022,Johnson
Jones County,County Total,0,4,0,12,23,49,14,102,12538,NA,2022,Jones
Karnes County,County Total,0,4,4,15,71,109,24,227,14876,NA,2022,Karnes
Kaufman County,County Total,1,47,29,258,350,1325,269,2279,169921,NA,2022,Kaufman
Kendall County,County Total,0,8,2,23,111,248,59,451,46907,NA,2022,Kendall
Kenedy County,County Total,0,1,0,0,0,0,2,3,336,NA,2022,Kenedy
Kerr County,County Total,1,24,5,59,99,290,41,519,53972,NA,2022,Kerr
Kimble County,County Total,0,0,0,2,4,2,3,11,4469,NA,2022,Kimble
Kleberg County,County Total,0,16,10,57,157,549,51,840,30497,NA,2022,Kleberg
Knox County,County Total,0,1,0,3,12,7,0,23,1047,NA,2022,Knox
Lamar County,County Total,2,32,9,195,214,557,94,1103,50420,NA,2022,Lamar
Lamb County,County Total,0,2,2,15,31,73,11,134,10023,NA,2022,Lamb
Lampasas County,County Total,0,4,0,25,20,172,13,234,21193,NA,2022,Lampasas
La Salle County,County Total,0,1,0,0,4,4,0,9,6198,NA,2022,La Salle
Lavaca County,County Total,1,9,2,23,28,76,13,152,22946,NA,2022,Lavaca
Lee County,County Total,1,13,3,24,42,109,17,209,18023,NA,2022,Lee
Leon County,County Total,3,2,0,20,54,106,15,200,15035,NA,2022,Leon
Liberty County,County Total,12,52,21,168,260,655,245,1413,95334,NA,2022,Liberty
Limestone County,County Total,1,11,12,54,108,230,32,448,22259,NA,2022,Limestone
Lipscomb County,County Total,0,0,0,3,3,2,0,8,2841,NA,2022,Lipscomb
Live Oak County,County Total,0,0,0,3,5,17,10,35,2194,NA,2022,Live Oak
Llano County,County Total,1,4,4,19,56,114,22,220,19073,NA,2022,Llano
Loving County,County Total,0,0,0,0,2,18,3,23,48,NA,2022,Loving
Lubbock County,County Total,27,330,368,2251,2492,8164,1393,15025,316856,NA,2022,Lubbock
Lynn County,County Total,0,1,1,8,11,25,4,50,5178,NA,2022,Lynn
McCulloch County,County Total,1,1,0,11,36,47,13,109,7544,NA,2022,McCulloch
McLennan County,County Total,16,186,125,834,1217,4548,557,7483,258233,NA,2022,McLennan
Madison County,County Total,1,5,1,20,27,58,17,129,14019,NA,2022,Madison
Marion County,County Total,0,6,1,31,44,62,15,159,9596,NA,2022,Marion
Martin County,County Total,0,2,2,8,18,117,5,152,5162,NA,2022,Martin
Mason County,County Total,0,0,0,0,0,3,0,3,3946,NA,2022,Mason
Matagorda County,County Total,3,20,14,169,178,712,56,1152,36638,NA,2022,Matagorda
Maverick County,County Total,0,16,16,120,334,766,135,1387,58619,NA,2022,Maverick
Medina County,County Total,2,10,8,68,141,364,137,730,51404,NA,2022,Medina
Midland County,County Total,14,84,45,633,380,2299,450,3905,163009,NA,2022,Midland
Milam County,County Total,0,0,7,51,68,100,37,263,25647,NA,2022,Milam
Mills County,County Total,0,1,0,3,7,7,1,19,4548,NA,2022,Mills
Montague County,County Total,0,4,2,25,133,112,19,295,16953,NA,2022,Montague
Montgomery County,County Total,18,192,122,1230,1255,6230,924,9971,668745,NA,2022,Montgomery
Moore County,County Total,1,12,3,41,51,252,39,399,21090,NA,2022,Moore
Morris County,County Total,2,1,5,32,20,49,9,118,9833,NA,2022,Morris
Motley County,County Total,0,0,0,6,2,1,0,9,1088,NA,2022,Motley
Nacogdoches County,County Total,2,19,12,75,147,697,65,1017,65100,NA,2022,Nacogdoches
Navarro County,County Total,10,36,14,161,142,560,77,1000,53893,NA,2022,Navarro
Newton County,County Total,1,3,0,19,33,46,6,108,12394,NA,2022,Newton
Nolan County,County Total,0,4,8,57,65,95,16,245,14561,NA,2022,Nolan
Nueces County,County Total,42,253,359,1969,1744,7901,894,13162,352044,NA,2022,Nueces
Ochiltree County,County Total,1,9,1,27,25,85,7,155,9665,NA,2022,Ochiltree
Oldham County,County Total,0,0,0,0,2,1,0,3,1684,NA,2022,Oldham
Orange County,County Total,3,38,17,172,298,627,172,1327,85213,NA,2022,Orange
Palo Pinto County,County Total,0,15,3,34,173,382,70,677,29286,NA,2022,Palo Pinto
Panola County,County Total,0,11,4,55,58,309,27,464,22784,NA,2022,Panola
Parker County,County Total,2,47,8,188,338,1219,222,2024,161150,NA,2022,Parker
Parmer County,County Total,0,1,0,5,38,29,10,83,9834,NA,2022,Parmer
Pecos County,County Total,0,2,0,5,12,17,8,44,8411,NA,2022,Pecos
Polk County,County Total,4,37,3,102,158,593,129,1026,53651,NA,2022,Polk
Potter County,County Total,24,212,202,1160,1211,5038,965,8812,218402,NA,2022,Potter
Presidio County,County Total,0,0,0,2,1,3,1,7,2880,NA,2022,Presidio
Rains County,County Total,0,0,0,0,1,6,1,8,1359,NA,2022,Rains
Randall County,County Total,1,18,3,64,54,204,40,384,44583,NA,2022,Randall
Reagan County,County Total,2,1,0,1,6,13,4,27,3153,NA,2022,Reagan
Real County,County Total,0,3,0,1,19,31,5,59,2929,NA,2022,Real
Red River County,County Total,1,4,1,10,13,38,9,76,11629,NA,2022,Red River
Reeves County,County Total,1,4,3,60,30,60,12,170,12483,NA,2022,Reeves
Refugio County,County Total,0,1,0,9,15,31,21,77,6806,NA,2022,Refugio
Roberts County,County Total,0,0,0,0,1,0,0,1,777,NA,2022,Roberts
Robertson County,County Total,1,6,2,50,135,91,32,317,17282,NA,2022,Robertson
Rockwall County,County Total,1,33,15,88,119,1121,96,1473,121643,NA,2022,Rockwall
Runnels County,County Total,0,4,1,15,68,32,5,125,10025,NA,2022,Runnels
Rusk County,County Total,1,17,10,88,149,416,81,762,50636,NA,2022,Rusk
Sabine County,County Total,0,6,1,12,19,19,4,61,9243,NA,2022,Sabine
San Augustine County,County Total,2,3,2,21,43,58,8,137,7973,NA,2022,San Augustine
San Jacinto County,County Total,0,3,0,0,0,1,0,4,0,NA,2022,San Jacinto
San Patricio County,County Total,2,25,9,70,148,516,58,828,46042,NA,2022,San Patricio
San Saba County,County Total,0,0,0,5,9,13,0,27,3197,NA,2022,San Saba
Schleicher County,County Total,0,0,0,4,9,6,0,19,2431,NA,2022,Schleicher
Scurry County,County Total,0,16,3,149,46,139,12,365,16818,NA,2022,Scurry
Shackelford County,County Total,0,2,0,4,4,6,1,17,3325,NA,2022,Shackelford
Shelby County,County Total,1,12,1,42,103,184,29,372,22109,NA,2022,Shelby
Sherman County,County Total,0,0,0,0,0,0,0,0,1973,NA,2022,Sherman
Smith County,County Total,14,120,53,725,548,2693,392,4545,239668,NA,2022,Smith
Somervell County,County Total,0,0,0,1,22,54,0,77,9789,NA,2022,Somervell
Starr County,County Total,1,10,9,91,133,310,62,616,66662,NA,2022,Starr
Stephens County,County Total,0,3,2,19,27,60,14,125,9324,NA,2022,Stephens
Sterling County,County Total,0,0,0,1,3,4,2,10,1387,NA,2022,Sterling
Sutton County,County Total,0,1,0,2,6,4,4,17,3297,NA,2022,Sutton
Swisher County,County Total,2,4,2,19,33,65,16,141,5918,NA,2022,Swisher
Tarrant County,County Total,153,1250,1179,5980,6437,36727,6310,58036,2095201,NA,2022,Tarrant
Taylor County,County Total,8,116,82,407,481,1932,209,3235,149452,NA,2022,Taylor
Terry County,County Total,0,8,1,38,57,97,14,215,11786,NA,2022,Terry
Throckmorton County,County Total,0,0,0,1,2,3,0,6,1558,NA,2022,Throckmorton
Titus County,County Total,1,24,8,79,86,274,44,516,31289,NA,2022,Titus
Tom Green County,County Total,6,84,28,271,472,2313,220,3394,119434,NA,2022,Tom Green
Travis County,County Total,82,687,1050,4510,5694,29219,6098,47340,1369051,NA,2022,Travis
Trinity County,County Total,0,3,0,17,30,38,10,98,11709,NA,2022,Trinity
Tyler County,County Total,0,7,2,19,62,74,31,195,20483,NA,2022,Tyler
Upshur County,County Total,0,20,4,68,83,213,29,417,40434,NA,2022,Upshur
Upton County,County Total,0,0,0,3,4,16,1,24,3253,NA,2022,Upton
Uvalde County,County Total,22,28,4,85,90,320,47,596,25069,NA,2022,Uvalde
Val Verde County,County Total,2,28,24,79,191,392,39,755,47831,NA,2022,Val Verde
Van Zandt County,County Total,3,18,6,38,156,273,53,547,63280,NA,2022,Van Zandt
Victoria County,County Total,7,47,41,229,328,1235,106,1993,91237,NA,2022,Victoria
Walker County,County Total,1,55,19,221,209,886,158,1549,79915,NA,2022,Walker
Waller County,County Total,2,42,16,121,159,464,113,917,57871,NA,2022,Waller
Ward County,County Total,2,4,4,31,33,116,34,224,10815,NA,2022,Ward
Washington County,County Total,1,18,0,80,69,259,48,475,36161,NA,2022,Washington
Webb County,County Total,12,77,133,639,429,2707,305,4302,265918,NA,2022,Webb
Wharton County,County Total,2,15,8,157,136,804,95,1217,42144,NA,2022,Wharton
Wheeler County,County Total,0,1,0,4,1,4,3,13,3157,NA,2022,Wheeler
Wichita County,County Total,16,126,55,336,592,2305,315,3745,131378,NA,2022,Wichita
Wilbarger County,County Total,2,10,1,28,34,61,13,149,12693,NA,2022,Wilbarger
Willacy County,County Total,1,5,7,67,77,179,20,356,18159,NA,2022,Willacy
Williamson County,County Total,13,210,79,425,870,6524,500,8621,628141,NA,2022,Williamson
Wilson County,County Total,1,22,2,49,105,355,75,609,50962,NA,2022,Wilson
Winkler County,County Total,0,2,0,8,23,45,19,97,7138,NA,2022,Winkler
Wise County,County Total,2,29,11,100,135,469,63,809,75128,NA,2022,Wise
Wood County,County Total,1,12,11,64,108,246,36,478,47838,NA,2022,Wood
Yoakum County,County Total,0,0,0,17,11,34,8,70,7591,NA,2022,Yoakum
Young County,County Total,0,5,2,24,23,98,16,168,18225,NA,2022,Young
Zapata County,County Total,0,0,0,5,12,20,0,37,14016,NA,2022,Zapata
Zavala County,County Total,0,2,0,12,9,23,12,58,3222,NA,2022,Zavala
