date,count,day
2022-03-15T00:00:00Z,708,Tuesday
2022-03-14T00:00:00Z,759,Monday
2022-03-13T00:00:00Z,664,Sunday
2022-03-12T00:00:00Z,660,Saturday
2022-03-11T00:00:00Z,728,Friday
2022-03-10T00:00:00Z,673,Thursday
2022-03-09T00:00:00Z,692,Wednesday
2022-03-08T00:00:00Z,618,Tuesday
2022-03-07T00:00:00Z,728,Monday
2022-03-06T00:00:00Z,730,Sunday
2022-03-05T00:00:00Z,746,Saturday
2022-03-04T00:00:00Z,737,Friday
2022-03-03T00:00:00Z,726,Thursday
2022-03-02T00:00:00Z,660,Wednesday
2022-03-01T00:00:00Z,761,Tuesday
2022-02-28T00:00:00Z,631,Monday
2022-02-27T00:00:00Z,618,Sunday
2022-02-26T00:00:00Z,670,Saturday
2022-02-25T00:00:00Z,685,Friday
2022-02-24T00:00:00Z,702,Thursday
2022-02-23T00:00:00Z,642,Wednesday
2022-02-22T00:00:00Z,685,Tuesday
2022-02-21T00:00:00Z,724,Monday
